Name,Msg File,FRM file,Prefix,Location,Mod,TH Mod,Status,VoiceActor,Description,AuditionLineA,AuditionLineB,AuditionLineC,WikiLink,ImageFile,InVockScope,Companion,CompanionMod
Brother Paul,amonk5,paul,paul,Abbey,VOCK,Talking Heads,Completed,Matt Bartlett,"Appointed to the conservation of knowledge by digitally transcribing books, Brother Paul is aware of the Abbey’s laws regarding studying the old world but often finds himself reading them in secret. He’s particularly fond of botany books.","I can't express to you the tedium of having to back up all these files each and every day. There's just so much information to preserve, but, of course, it must be done.","The Abbot is a good spiritual leader, but he's been a little cranky since we lost Brother Thomas to the beast.",Did you know a notch in a tree will remain the same distance from the ground as the tree grows?,https://f2rp.bgforge.net/abbey/,amonk5.png,Yes,,
Chrissy,bccrissy,chrsy,chrsy,Vault 15,VOCK,Talking Heads,Completed,Megan Rowe,"A young member of the Squatters, Chrissy is being held captive by the New Khans after she accidentally discovered the entrance to their base. A lot tougher than she looks, she won’t hesitate to defend herself.","Let me guess. The guys are tired of me kicking them where it hurts, so they sent you in here.","A bow tie?  It's like a scarf, but for men. Now, just imagine me kicking you SO hard that you end up wearing your dangly about your neck. Get it?","My knight in shining armor returns. Well, it would shine if you'd clean it every once in a while.",https://fallout.fandom.com/wiki/Chrissy,bccrissy.png,Yes,,
Dalia,bcdalia,dalia,,Vault 15,THAT,Talking Heads,Completed,<unknown>,Same NPC as the other Dalia row — she relocates from the New Khans camp (Vault 15) to Vault 13.,,,,https://fallout.fandom.com/wiki/Dalia,bcdalia.png,Yes,,
Dalia,ocdalia,dal13,,Vault 13,THAT,Talking Heads,Completed,<unknown>,Same NPC as the other Dalia row — she starts in the New Khans camp (Vault 15) and relocates here to Vault 13.,,,,https://fallout.fandom.com/wiki/Dalia,ocdalia.png,Yes,,
Darion,bcdarion,dario,dario,Vault 15,VOCK,Talking Heads,Auditioning,,"Darion is the leader of the New Khans raiders. His band is a derivative of The Great Khans of which he is the only survivor after The Chosen One’s ancestor, the Vault Dweller, wiped them out while rescuing a young President Tandi. He now lives in fear inside of Vault 15, ready to incinerate any trespassers with his flame thrower. He has a dog called ""Baddog"".","So, here you are at last. The savior of the downtrodden, the righter of wrongs, the icon of hope for humanity. What a dumb-ass!","Well, before you start any boring speeches, I'd just like to say that I'm not fucking interested.","Let's just cut to the chase and get this over with. Baddog, kill!",https://fallout.fandom.com/wiki/Darion,bcdarion.png,Yes,,
Doc Jones,bcjones,jones,jones,Vault 15,VOCK,Talking Heads,Auditioning,,"Doc Jones works for the New Khans of Vault 15, albeit against his will. Serving as the personal doctor for Darion, he is privy to many of the New Khans' leader's personality disorders and eccentricities.","Hello, I'm Doc Jones. You can call me Doc. What can I help you with?","Darion is a mental case, plain and simple. He's got more spooks in his head than his dog has fleas.","Here, you'll need to drink this -- all of it, I know it tastes foul. Now, just lie down on the bed over there, and I'll wake you in the morning.",https://fallout.fandom.com/wiki/Jones_(Fallout_2),bcjones.png,Yes,Yes,RPCE
Rebecca,bcrebecc,rb15,rb15,Vault 15,VOCK,Talking Heads,Auditioning,,"An older member of the Squatters, Rebecca is the mother of Chrissy whom she loves dearly and is worried about her recent disappearance. Like many members of her “tribe” she is wary of strangers.","Hi, I'm Rebecca. Can we talk privately, please?",You may think I'm crazy but I get the feeling I'm being watched all the time.,"I have a daughter named Chrissy who's a bit of a tomboy. She likes to run around, explore, and pretty much stick her nose into things. Chrissy's a good kid, though.",https://fallout.fandom.com/wiki/Rebecca_(Vault_15),bcrebecc.png,Yes,,
Zeke,bczeke,zeke,zeke,Vault 15,VOCK,Talking Heads,Auditioning,,"Zeke is the elderly leader of the Vault 15 Squatters (a group of wanderers and vagrants). He will do anything to protect his people, even strike deals with less than agreeable individuals.","My name's Zeke, stranger. I'm sorry, but I don't have time to talk to you -- and I don't think there's anything in this town for you, anyway. You should move on.",Why don't you take a hint and get the duck out of fodge?,"They have the guns, they control the water, and they control the food. That means they are in charge. Period.",https://fallout.fandom.com/wiki/Zeke_(Fallout_2),bczeke.png,Yes,,
Chris,ccchris,chris,chris,Navarro,VOCK,Talking Heads,Auditioning,,"Chris is an old man who is the sentry and overwatch radioman at the Navarro gas station, posing as a gas station attendant. His role is to dissuade travellers from proceeding ahead towards the base, as well as receiving fresh recruits from other Enclave bases in the area of operation.","This here's my place, Chris's. It's a service station - ain't you ever seen one of those, in old magazines and such? That's what I got here - a service station.","Navarro? Ain't heard that name in ages. Old military base southeast of San Fran, and that's a ways south of here",Alert! We got an intruder at the station! Alert!,https://fallout.fandom.com/wiki/Chris_(Fallout_2),ccchris.png,Yes,,
Doctor Schreber,ccdoctor,sch,,Navarro,THAT,Talking Heads,Completed,SoldierHobbes,,,,,https://fallout.fandom.com/wiki/Schreber,ccdoctor.png,Yes,,
Sergeant Arch Dornan,ccdrill,power,,Navarro,FO2,Fallout 2,Completed,Peter Jason,,,,,https://fallout.fandom.com/wiki/Arch_Dornan,ccdrill.png,Yes,,
Enclave Gate Guard,ccgguard,power,,Navarro,FO2,Fallout 2,Completed,Peter Jason,,,,,https://fallout.fandom.com/wiki/Enclave_Gate_Guard,ccgguard.png,Yes,,
K-9,cck9,rdog,,Navarro,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/K-9,cck9.png,Yes,Yes,
Navarro Base Commander,ccmandr,cmdr,cmdr,Navarro,VOCK,Talking Heads,Auditioning,,"A military man through-and-through, the Navarro base commander has very little patience with unruly subordinates and is very quick to dismiss them – or worse.",I don’t have time to chitchat with the grunts. You’re dismissed.,"Make it quick soldier, I don’t have all day to stand around.","Wrong answer, maggot. You’re to carry your papers with you at all times. You should know that!",https://fallout.fandom.com/wiki/Navarro_base_commander,ccmandr.png,Yes,,
Quartermaster,"ccmaster
ccqmstr","qm2
qm","qm2
qm",Navarro,VOCK,Talking Heads,Auditioning,,"Navarro’s Quartermaster is a pretty easy-going fellow with close relations to the base's drill sergeant, Arch Dornan. He has a brother with stunted mental development serving in the Enclave Armed Forces.",You the guy Arch radioed about?,"This base is on alert and I don't recognize you. Show me your papers, soldier.",What the... I can see why you're here. You obviously want to get rid of that antique suit you're wearing.,https://fallout.fandom.com/wiki/Quartermaster_(Fallout_2),ccmaster.png,Yes,,
Quincy,ccquincy,quin,quin,Navarro,VOCK,Talking Heads,Auditioning,,"Head of Navarro’s technical crew, Quincy is a responsible man who takes his job very seriously. He has a short temper towards people he deems incompetent. He is rivals with Raul, Navarro’s lead Vertibird mechanic.","Name's Quincy, soldier. Why are you tapping my shoulder and looking lost?","You're one round short of a full clip, aren't you? Well, they call you grunts for a reason. Look, Einstein, I can't give you the plans without authorization, okay?","Damn it! You know, Raul would lose his head if it weren't placed so firmly up his ass! This is the third time this quarter that he's lost those plans!",https://fallout.fandom.com/wiki/Quincy_(Fallout_2),ccquincy.png,Yes,,
Raul,ccraul,raul,raul,Navarro,VOCK,Talking Heads,Auditioning,,"Raul is Navarro's premier Vertibird mechanic. He has a characteristic attitude, speaking about himself in third person and an unhealthy obsession about keeping Vertibirds in top shape. He has a heated rivalry with Quincy, Navarro’s head of the technical crew.","Sorry, man, but I don't have time to chit-chat, you know? I got to get this bird working.","Hey man, Raul don't take no shit from nobody. You see Quincy working on these birds? No way, man. Only Raul works on these babies. You know why? Cause Quincy don't know DICK, man, that's why!","Hey, thanks, man. Raul owes you one! Don't go away and, hey, man, if anybody screws with Raul's birds, you shoot them in the ass. Ok?",https://fallout.fandom.com/wiki/Raul_(Fallout_2),ccraul.png,Yes,,
Xarn,ccxarn,xarn,,Navarro,THAT,Talking Heads,Completed,TonyTwoTap,,,,,https://fallout.fandom.com/wiki/Xarn,ccxarn.png,Yes,,
Great Ananias,dcanan,ana,ana,The Den,VOCK,Talking Heads,Auditioning,,"Ananias is a short, mustachioed man with a somewhat criminal look about him. He is a self-proclaimed magician that claims to have found a great ""jan-u-wine"" (genuine) mummy and to have a haunted house next door. He charges money ($25) for seeing the mummy, of course. In fact, the ""mummy"" is a sleeping, comatose ghoul named Woody. The haunted house has more basis in fact: Anna Winslow's ghost recently has become restless because her locket was stolen from the haunted house by Joey, a local thug and Jet dealer.","Hello, welcome, salutations! I am the Great Ananias (he offers you a slight bow, with a flourish). I bring mysteries from near and far friend. Mysteries from a world beyond our own... of the Netherworld.","No, my friend, a MUMMY! Straight from the sands of ancient Egypt to the sands of the Wastes! Exclusively for you to see!",,https://fallout.fandom.com/wiki/Great_Ananias,dcanan.png,Yes,,
Anna Winslow,dcanna,anna,anna,The Den,VOCK,Talking Heads,Auditioning,,"Late at night in an old ruined building, The Chosen One can find Anna Winslow, a wandering spirit. Her speech is incoherent but she seems concerned about a certain “locket”.","Oh, the pain! It burns so!",Where is it? I cannot find it! I am lost! Oh....,It's so bright…,https://fallout.fandom.com/wiki/Anna_Winslow,dcanna.png,Yes,,
Flick,dcflick,flick,flick,The Den,VOCK,Talking Heads,Auditioning,,"A shady character with an Italian accent, Flick fancies himself a philanthropist, helping the impoverished children of the Den by putting them to work as pickpocketers in return for some shelter and food.","I'm a fuckin' provider, waddya think? I'm like a good Samurai-itan guy","What you talkin' about? You think I'm a fucking stupid pirla? Some dumb filio di puttana? You think I'm some kinda clown? Am I here to amuse you, is that it?","I provide fer them little paisanos. Pai-san-o, you know, the kids. My kids.",https://fallout.fandom.com/wiki/Flick,dcflick.png,Yes,,
Frankie,dcfranki,frank,frank,The Den,VOCK,Talking Heads,Auditioning,,"Frankie is the short-tempered owner of “The Hole”, a bar on the eastern side of The Den. He has a heated rivalry with Rebecca Dyer and her establishment, although it’s more one sided than he thinks.",I'm Frankie and yer standing in 'The Hole.' Best damn bar for a hundred miles!,I don't want people like you in my place. Get out!,"Go talk to Sheila. Hey, Sheila, you got a customer!",https://fallout.fandom.com/wiki/Frankie_(Fallout_2),dcfranki.png,Yes,,
Joey,dcjoey,joeyd,,The Den,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Joey,dcjoey.png,Yes,,
Lara,dclara,larad,larad,The Den,VOCK,Talking Heads,Auditioning,,"Leader of a small gang and subordinate to Metzger, Lara is cunning and calculative. She's a rival to Tyler, another local gang leader. The Chosen can turn the tides in her favour.",The name's Lara; I run this gang. You better not be here to cause trouble or you're in for a world of hurt.,If you didn't come to The Den for a specific reason you should probably leave. It's not very safe around here.,Coward!,https://fallout.fandom.com/wiki/Lara_(Fallout_2),dclara.png,Yes,Yes,RPCE
Metzger,dcmetzge,metzg,metzg,The Den,VOCK,Talking Heads,Cast,Bailey Geen - stab0talksVA,"Ruthless and borderline psychotic, Metzger is the feared leader of the Slaver’s Guild chapter in The Den. If they are so inclined, The Chosen can work for him.",What the fuck do you want? This is the Slaver's Guild not some safe house for you fucking jet heads.,"So, our delicate little flower girl returns, you changed your mind then?",You here to work for a fucking change?,https://fallout.fandom.com/wiki/Metzger,dcmetzge.png,Yes,,
Mom,dcmom,mom,,The Den,THAT,Talking Heads,Completed,coolartist1110,,,,,https://fallout.fandom.com/wiki/Mom_(Fallout_2),dcmom.png,Yes,,
Rebecca Dyer,dcrebecc,rbcca,rbcca,The Den,VOCK,Talking Heads,Auditioning,,"Easy on the eyes, Rebecca is the owner of “Becky’s”, the local bar and casino. Despite being a ruthless businesswoman, she’s one of the few upstanding citizens of The Den.",Hey! You want a drink or did you just come back to say hi?,"Well, since you're such a good customer, I'll let you in on a little secret.","Whiskey is my specialty. It's almost a tradition in the Dyer family. I charge the low, low price of only $5",https://fallout.fandom.com/wiki/Rebecca_Dyer,dcrebecc.png,Yes,,
Sheila,dcsheila,shela,shela,The Den,VOCK,Talking Heads,Auditioning,,"Bored and disinterested, Sheila is a sell body working at “The Hole”. She has little patience for small talk.",Whatever…,I don't get paid enough for this.,"Hey, it’ll cost more if you've got an audience with ya.",https://fallout.fandom.com/wiki/Sheila_(Fallout_2),dcsheila.png,Yes,,
Smitty,dcsmitty,smit,,The Den,THAT,Talking Heads,Completed,Aaren Kelley,,,,,https://fallout.fandom.com/wiki/Smitty_(Den),dcsmitty.png,Yes,,
Tubby,dctubby,tubby,tubby,The Den,VOCK,Talking Heads,Completed,Dmitry Medvedenko,"Tubby is the sleazy owner of “Tubby’s”, a weapon and chem shop in The Den.","Hello, sir, and welcome to Tubby's. I am the proprietor. May I help you?","Only the strongest, fastest or smartest will survive here. I'm sure you will find your niche.",Oh my. I can tell we will have a communication problem. Please nod if you would like to trade any goods.,https://fallout.fandom.com/wiki/Tubby,dctubby.png,Yes,,
Tyler,dctyler,tyler,,The Den,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Tyler_(Fallout_2),dctyler.png,Yes,,
Vic,dcvic,vic,vic,The Den,VOCK,Talking Heads,Auditioning,,"A crafty trader and repairman, Vic is a friendly but slightly naive individual who’s currently being held captive by slavers. He has the habit of calling everyone “Boss”.","Okay, Boss!","Metzger's still quite upset with me, even though we fixed his darn radio. He's threatening to sell me off! I'll do anything you ask if you can get me out of this mess.","Sure, I'll join up with you! This old fart has one big adventure left in him.",https://fallout.fandom.com/wiki/Vic,dcvic.png,Yes,Yes,
Arthur Pendragon,ecarthur,arth,arth,Special Encounter,VOCK,Talking Heads,Completed,Tsovir,"Born to a father by the name of Uther, Arthur has been with the Brotherhood of Steel searching for the Holy Hand Grenade for a long time.","Hail, travelers. My name is Arthur, son of Uther Pendragon, from the Brotherhood of Steel. We are on quest for the Holy Hand Grenade of Antioch. Hast thou seen it?","The Holy Hand Grenade of Antioch? Why, 'tis only the greatest hand held, anti-personnel weapon of its kind.",Bloody peasant!,https://fallout.fandom.com/wiki/Arthur_Pendragon,ecarthur.png,Yes,,
Sir Bedemir,ecbedemi,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Bedemir,,No,,
Bridge Keeper,ecbridge,brige,brige,Special Encounter,VOCK,Talking Heads,Auditioning,,"The Bridge Keeper is a wild-eyed man with an unkempt beard, a raspy voice, and an oddly, smelly, filthy brown and purple garment made out of special fabrics. His main purpose is to guard a bridge and tell riddles to unsuspecting travellers, if they fail to answer correctly they inexplicably explode into many tiny pieces.","Stop! Who would cross the Bridge of Death must answer me these questions three, 'ere the other side he see.",How much weight can a person with a strength of six carry assuming he has the Strong Back perk?,Right. Off you go.,https://fallout.fandom.com/wiki/Bridgekeeper,ecbridge.png,Yes,,
Concorde,ecconcor,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Concorde,,No,,
Dogmeat,ecdogmet,dogmt,dogmt,Special Encounter,VOCK,Talking Heads,Auditioning,,"A fan favourite who needs little introduction, Dogmeat is the eternally loyal companion to The Chosen One and his ancestor.",Awooooooooooo!,Grrrrrr!,Woof!,https://fallout.fandom.com/wiki/Dogmeat_(Fallout),ecdogmet.png,Yes,Yes,
Eric,eceric,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Eric_(special_encounter),,No,,
Sir Galahad,ecgalaha,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Galahad,,No,,
John,ecjohn,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/John,,No,,
Joshua,ecjoshua,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Joshua_(special_encounter),,No,,
Kaga,"eckaga1
eckaga2
eckaga3
eckaga4
eckaga5",kaga,kaga,Special Encounter,VOCK,Talking Heads,Completed,Richard Manzano - Sp3lunky,"Once one of Arroyo’s greatest warriors, Kaga’s soul was corrupted by outside influences turning him into a wicked man. He was banished by the tribe and now seeks revenge by attacking the Chosen One any chance he gets as he believes the title should be his. He likes talking in the third person.","So, they cast out Kaga, then deem YOU the Chosen One? Ha!","You think you are better than I, Kaga the Great?!",Kaga won't even bother speaking with you further. Prepare to die at the hands of Kaga!,https://f2rp.bgforge.net/random-encounters/,eckaga1.png,Yes,,
Patsy,ecpatsy,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Patsy,,No,,
Sir Robin,ecrobin,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Robin_(Fallout_2),,No,,
Sir Launcelot,ecsirlau,,,Special Encounter,,,,,,,,,https://fallout.fandom.com/wiki/Launcelot,,No,,
Dex,epac10,dex,,EPA,THAT,Talking Heads,Completed,<unknown>,,,,,https://f2rp.bgforge.net/epa/,epac10.png,Yes,,
Sergeant Cat Jules,epac11,cat,,EPA,THAT,Talking Heads,Completed,<unknown>,,,,,https://f2rp.bgforge.net/epa/,epac11.png,Yes,,
Kitsune,epac12,kit,kit,EPA,VOCK,Talking Heads,Auditioning,,"As dangerous as she is beautiful, Kitsune was a Chinese spy during Pre-War times. She may have more secrets to hide. The Chosen One awakes her after she was cryogenically frozen in a Pre-War research facility.",Is it over? The War…Who won?,What do you do when you've been hibernating for over a century? Even bears don't sleep that long.,Maybe... maybe I will take my chances with you.,https://f2rp.bgforge.net/epa/,epac12.png,Yes,,
Badger,fcbadger,badge,badge,San Francisco,VOCK,Talking Heads,Auditioning,,"Well liked by his peers, Badger is the hacker and “information retriever” for the Tanker Vagrants. A good natured individual and burping enthusiast, he likes to bring up how he used to play in a band.",*Loud Belch* Whaddya want?,I'm Badger. I used to have a band. *sigh* Called ourselves “There We Smolder”. Now I'm the resident computer tech in San Fran.,"Thank you, thank you, thank you. I can't thank you enough for saving her.",https://fallout.fandom.com/wiki/Badger_(Fallout_2),fcbadger.png,Yes,,
Chip,fcchip,chip,chip,San Francisco,VOCK,Talking Heads,Auditioning,,"Usually cheerful fellow, Chip of Tanker Vagrants is less so due to him losing his spleen in a bet.","Ooh, my guts... ow, ow, ow.",Piss off.,"Dude, I heard you found my spleen. Did you know to talk to Dr. Fung about putting it back in me?",https://fallout.fandom.com/wiki/Chip,fcchip.png,Yes,,
Dragon,fcdragon,drago,,San Francisco,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Dragon_(Fallout_2),fcdragon.png,Yes,,
Dr. Fung,fcdrfung,fung,fung,San Francisco,VOCK,Talking Heads,Auditioning,,"An old man with a wizened appearance, Dr. Fung is The Shi’s resident physician and one the best in the wasteland as he is capable of replacing organs, implanting battle armor plating and performing general healing.",Who am I? I am Dr. Fung. I teach and I heal.,"You're hurt? Tsk, tsk. Ancient remedy will cure that.","This is a major operation. It will cost you your ""good looks"", a set of combat armor, and $49000. Are you willing to invest in this?",https://fallout.fandom.com/wiki/Fung,fcdrfung.png,Yes,,
Wong Yi Tze,fcdrwong,wong,wong,San Francisco,VOCK,Talking Heads,Auditioning,,"Short, rotund and jovial Dr. Wong is a welcome contrast to many of his fellow Shi scientists. He’s the lead researcher of his faction whose knowledge in machinery and computers is second to none.","Oh, hello there!","Ahh, yes! Indeed. I will prepare it with fava beans and a nice chianti.","Ah, but if I tell you our plans, then everyone will know. I'm afraid they are secret plans, for now.",https://fallout.fandom.com/wiki/Wong_Yi_Tze,fcdrwong.png,Yes,,
Matthew,fcfmatt,mat,,San Francisco,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Matthew_(Fallout_2),fcfmatt.png,Yes,,
Vikki Goldman & Juan Cruz,fcjuavki,vaj,vaj,San Francisco,VOCK,Talking Heads,Auditioning,,"Popular pornstars in New Reno, Vikki and Juan are an eerily wholesome couple whose goal is to sway potential recruits into Hubology using their looks and status as celebrities.","Him: Hi! I'm Juan Cruz! Her: And I'm Vikki Goldman! Both: We're celebrities! And we endorse Hubology! Both: Please note that any similarities between us and people or institutions, living or dead, is entirely coincidental.","Her: That wasn't so bad, was it? Him: Now just go talk to AHS-7 and we'll be comrades in Hubology! Her: I'm so excited!","Her: Oh, yes, you should definitely make your own choices. Him: And with the Hub's latest book, you can learn how to make the RIGHT choice!",https://fallout.fandom.com/wiki/Juan_Cruz,fcjuavki.png,Yes,,
Ken Lee,fckenlee,kensf,,San Francisco,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Ken_Lee,fckenlee.png,Yes,,
Lao Chou,fclaocho,lao,,San Francisco,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Lao_Chou,fclaocho.png,Yes,,
Lo Pan,fclopan,lopan,lopan,San Francisco,VOCK,Talking Heads,Auditioning,,"Dragon’s (a San Fran martial arts master) eternal rival, Lo Pan is the ying to his yang. While the latter preaches about honour and justice, Lo Pan has no quarrels about committing crimes to get results. He seeks to finally end his rivalry with Dragon.",Him? The Dragon. He's a weakling who fosters weakness.,Teach you? I don't think so. You look far too self-righteous. Get out of here.,"I may be a scumbag, but never will it be said I don't stand up for my people. I'm going to hurt you before you die.",https://fallout.fandom.com/wiki/Imbot,fclopan.png,Yes,,
AHS-7,fcoz7,ahs7,ahs7,San Francisco,VOCK,Talking Heads,Auditioning,,"AHS-9’s second in command, AHS-7 is a devoted follower of the cult. He greets newcomers and indoctrinates them in the Hubologists' ways.","Ah, poor child. Would you like to be aligned?",Do not wait too long before returning with a reply. Your neurodynes will be filled with more and more pollution until we can begin the cleansing process.,Torch us? TORCH US? GUARDS! KILL THE UNBELIEVER!,https://fallout.fandom.com/wiki/AHS-7,fcoz7.png,Yes,,
AHS-9,fcoz9,ahs9h,,San Francisco,THAT,Talking Heads,Completed,BenjangoVA,,,,,https://fallout.fandom.com/wiki/AHS-9,fcoz9.png,Yes,,
Ron Meyers,fcronmey,cap,,San Francisco,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/A._Ron_Meyers,fcronmey.png,Yes,,
Suze,fcsuze,suze,suze,San Francisco,VOCK,Talking Heads,Auditioning,,Suze is Badger’s timid girlfriend and a begrudging member of the Tanker Vagrants.,Aieee! Help me!,"Oh, you poor dear. Radiation and the wasteland aren't nice, are they? I hope someone can help you.","I used to be a nanny, but then the kids mutated into monsters.",https://fallout.fandom.com/wiki/Suze,fcsuze.png,Yes,,
Brain (Mole Rat),gcbrain,brain,,Gecko,THAT,Talking Heads,Completed,Aaren Kelley,,,,,https://fallout.fandom.com/wiki/Brain_(mole_rat),gcbrain.png,Yes,,
Festus,gcfestus,fest,,Gecko,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Festus_(Fallout_2),gcfestus.png,Yes,,
Gordon,gcgordon,gord,,Gecko,THAT,Talking Heads,Completed,Jerkytown,,,,,https://fallout.fandom.com/wiki/Gordon_(Gecko),gcgordon.png,Yes,,
Hank,gchank,hank,hank,Gecko,VOCK,Talking Heads,Completed,PaleFreak,"Hank is a glowing one with a concerned look on his face. In charge of maintaining the reactor and ensuring it works properly, Hank is approachable and courteous for a wastelander. He is quite talented in technical matters, but leaves major repairs and part swaps to the resident tech wizard, Festus.","Heh, heh. I wouldn’t advise that, smoothy. You’d fry into a crisp. Me, I like the warmth, but I wouldn’t recommend it for you. Quite a bit of heat and radiation in there. That’s why the smoothies that built this place included a maintenance bot.",,,https://fallout.fandom.com/wiki/Hank_(Fallout_2),gchank.png,Yes,,
Harold,gcharold,hrld2,,Gecko,FO2,Fallout 2,Completed,Charlie Adler,,,,,https://fallout.fandom.com/wiki/Harold,gcharold.png,Yes,,
Lenny,gclenny,lenny,lenny,Gecko,VOCK,Talking Heads,Auditioning,,"The shy but kind doctor of Gecko, Lenny is a ghoul hoping to join the Chosen One in his adventures. Where he lacks in combat skills he makes up with his big heart.","Hello there, my name’s Lenny. H’how can I h’help you?",Y’you c’could say that. I’d trade in all those years to b’be a n’normal person again.,You d’didn’t have enough m’money... b’but I helped y’you out anyway. J’jist c’cant stand to see p’people in p’pain.,https://fallout.fandom.com/wiki/Lenny_(Gecko),gclenny.png,Yes,Yes,
Skeeter,gcskeetr,skeet,skeet,Gecko,VOCK,Talking Heads,Completed,Joshua Luther,"Skeeter is an inventor and resident mechanic of Gecko, a small town and haven for Ghouls (heavily mutated humans). He’s very smart but quite scatterbrained and tends to cause fires around town while testing his many “inventions”.","Most amateur mechanics jist assume that it’s the battery itself. But you know what ass-uming things does, dontcha?",Mostly I jist sorta tinker with things. Take ‘em apart an try to put ‘em all back t’gether… mostly. Make ‘em work better… sometimes.,"Thanks for fixin’ up our atomic reactor. It shore needed some work. I woulda show’d ‘em how, but they don’t trust me in there any more.",https://fallout.fandom.com/wiki/Skeeter,gcskeetr.png,Yes,,
Wooz,gcwooz,wooz,,Gecko,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Wooz,gcwooz.png,Yes,,
Zomak The Destroyer,gczomak,zomak,zomak,Gecko,VOCK,Talking Heads,Completed,Lewis Saunders,"Zomak is a large and intimidating ghoul, he protects the leader of his cult (The Brain) with his life.","Renew, comrade! What are you doing here? State your business to Zomak the Destroyer.","Yes, the sacred talisman of Renewal. Renew, comrade! Renew!",Get out of here. The Brain doesn't have time for the likes of you.,https://fallout.fandom.com/wiki/Zomak,gczomak.png,Yes,,
